id_estudiante,codigo_universitario,nombres,apellidos,edad,sexo,carrera,facultad,ciclo,fecha_nacimiento,estado_matricula,promedio_general,asistencia,cursos_aprobados,cursos_desaprobados,creditos_aprobados,ciclo_academico,riesgo_academico,nivel_estres_num,nivel_ansiedad_num,bienestar_general,horas_sueno,actividad_fisica,estado_emocional,horas_ejercicio,frecuencia_semanal
1,202600001,Adolfo,Mata,20,Masculino,Administración,Ciencias Empresariales,2,2003-09-17,Retirado,10.25,89.63,6,1,24,2026-I,Alto,9,2,3.36,4,1,Feliz,0.7,5
2,202600002,Marcio,Bermudez,20,Femenino,Ingeniería de Sistemas,Ingeniería,10,2008-05-28,Reserva,15.61,92.38,8,3,32,2026-I,Medio,1,3,3.79,6,3,Motivado,0.6,7
3,202600003,Ambrosio,Pérez,22,Femenino,Arquitectura,Arquitectura,10,1996-06-01,Reserva,11.02,92.29,7,0,28,2026-I,Alto,8,9,1.5,7,1,Tranquilo,0.9,6
4,202600004,Noé,Milla,27,Masculino,Arquitectura,Arquitectura,5,1997-10-31,Matriculado,15.77,94.21,4,0,16,2026-I,Medio,2,7,2.11,9,3,Motivado,1.1,2
5,202600005,Ulises,Amo,25,Masculino,Derecho,Derecho,3,2008-03-22,Reserva,17.02,75.18,4,1,16,2026-I,Bajo,9,4,3.74,10,1,Motivado,2.5,7
6,202600006,Amador,Cañete,26,Femenino,Arquitectura,Arquitectura,4,2009-03-08,Retirado,14.01,79.97,4,1,16,2026-I,Medio,8,3,2.06,5,5,Tranquilo,0.8,5
7,202600007,Isabel,Sanjuan,20,Masculino,Enfermería,Ciencias de la Salud,9,2000-06-05,Reserva,18.98,63.64,7,2,28,2026-I,Bajo,1,2,1.61,5,4,Tranquilo,0.2,4
8,202600008,Calisto,Gutiérrez,27,Masculino,Marketing,Ciencias Empresariales,9,2005-10-25,Reserva,15.29,90.74,8,0,32,2026-I,Medio,6,2,2.17,5,4,Feliz,2.9,6
9,202600009,Pepita,Saavedra,30,Femenino,Derecho,Derecho,9,2000-01-28,Retirado,19.72,67.96,5,0,20,2026-I,Bajo,6,3,3.16,10,5,Feliz,1.8,4
10,202600010,Juan Francisco,Blanch,20,Masculino,Ingeniería de Sistemas,Ingeniería,4,1996-12-18,Retirado,11.12,97.88,6,2,24,2026-I,Alto,2,8,4.26,10,5,Motivado,0.4,4
11,202600011,Herminio,Morán,20,Masculino,Contabilidad,Ciencias Empresariales,5,2001-05-16,Reserva,12.65,99.81,8,3,32,2026-I,Alto,6,8,4.6,7,1,Motivado,0.7,3
12,202600012,Aníbal,Moreno,17,Masculino,Ingeniería de Sistemas,Ingeniería,1,2000-06-20,Matriculado,15.88,62.7,5,1,20,2026-I,Medio,1,6,1.28,5,3,Estresado,0.6,2
13,202600013,Lucila,Sevillano,20,Masculino,Marketing,Ciencias Empresariales,2,2003-08-07,Retirado,12.43,77.24,7,3,28,2026-I,Alto,7,7,2.87,9,1,Feliz,0.2,6
14,202600014,Jacinta,Posada,20,Masculino,Arquitectura,Arquitectura,9,2004-08-24,Reserva,18.01,65.61,4,1,16,2026-I,Bajo,3,5,2.85,10,1,Estresado,2.4,7
15,202600015,Ariadna,Arias,18,Masculino,Administración,Ciencias Empresariales,3,1998-05-21,Reserva,10.51,79.43,8,0,32,2026-I,Alto,4,7,4.61,5,4,Feliz,3.0,3
16,202600016,Edu,Arenas,19,Masculino,Marketing,Ciencias Empresariales,5,1995-07-07,Matriculado,12.85,98.75,8,3,32,2026-I,Alto,10,9,1.24,6,1,Feliz,1.8,5
17,202600017,Jenaro,Gutierrez,30,Masculino,Contabilidad,Ciencias Empresariales,2,2003-03-13,Retirado,10.57,62.72,8,0,32,2026-I,Alto,4,7,1.48,8,2,Tranquilo,1.8,5
18,202600018,Elías,Nuñez,21,Masculino,Administración,Ciencias Empresariales,6,2000-11-01,Matriculado,14.19,70.62,8,2,32,2026-I,Medio,3,5,2.83,10,1,Feliz,1.4,5
19,202600019,Isabela,Almazán,19,Femenino,Administración,Ciencias Empresariales,2,1995-08-04,Matriculado,10.73,74.78,5,2,20,2026-I,Alto,3,8,4.33,9,3,Tranquilo,3.0,7
20,202600020,Buenaventura,Benavides,27,Masculino,Ingeniería de Sistemas,Ingeniería,3,1997-03-07,Reserva,16.68,64.62,8,2,32,2026-I,Bajo,2,9,1.62,6,5,Motivado,2.2,2
21,202600021,Miguel,Galvez,18,Femenino,Derecho,Derecho,5,2004-05-27,Matriculado,15.05,60.14,6,0,24,2026-I,Medio,3,5,1.65,7,5,Estresado,1.7,1
